what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201103301742,"org.eclipse.wb.core.lib",1304001365850
started,bundle,com.google.gdt.eclipse.designer.GXT.databinding,2.2.1.r36x201103301634,"com.google.gdt.eclipse.designer.GXT.databinding",1304001365850
os,sysinfo,,,"macosx",1304001365854
arch,sysinfo,,,"x86_64",1304001365854
ws,sysinfo,,,"cocoa",1304001365854
locale,sysinfo,,,"en_US",1304001365854
processors,sysinfo,,,"4",1304001365854
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304001365854
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1304001365854
java.specification.name,sysinfo,,,"Java Platform API Specification",1304001365854
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304001365854
java.specification.version,sysinfo,,,"1.6",1304001365854
java.vendor,sysinfo,,,"Apple Inc.",1304001365854
java.version,sysinfo,,,"1.6.0_24",1304001365854
java.vm.info,sysinfo,,,"mixed mode",1304001365854
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304001365854
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304001365854
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304001365854
java.vm.specification.version,sysinfo,,,"1.0",1304001365854
java.vm.vendor,sysinfo,,,"Apple Inc.",1304001365854
java.vm.version,sysinfo,,,"19.1-b02-334",1304001365854
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1304001366023
started,bundle,org.eclipse.pde,3.6.1.v201102101200,"org.eclipse.pde",1304001366057
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1304001366179
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1304001366192
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1304001367174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304001367342
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1304001367608
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1304001367630
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1304001367721
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1304001368913
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1304001368974
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1304001369292
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1304001369506
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1304001369509
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1304001371920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304001371993
started,bundle,org.eclipse.wb.runtime.lib,0.9.0.r36x201103301742,"org.eclipse.wb.runtime.lib",1304001372193
started,bundle,com.google.gdt.eclipse.designer.GWTExt,2.2.1.r36x201103301634,"com.google.gdt.eclipse.designer.GWTExt",1304001372363
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.2.1.r36x201103301817,"com.google.gdt.eclipse.designer.UiBinder",1304001372391
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1304001372737
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.2.1.r36x201103301634,"com.google.gdt.eclipse.designer.SmartGWT",1304001373278
started,bundle,com.google.gdt.eclipse.designer.hosted.1_6,2.2.1.r36x201103301757,"com.google.gdt.eclipse.designer.hosted.1_6",1304001373625
started,bundle,com.google.gdt.eclipse.designer.hosted.2_0,2.2.1.r36x201103301757,"com.google.gdt.eclipse.designer.hosted.2_0",1304001373635
started,bundle,com.google.gdt.eclipse.designer.hosted.2_2.webkit,2.2.1.r36x201103301757,"com.google.gdt.eclipse.designer.hosted.2_2.webkit",1304001373834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304001384287
started,bundle,org.eclipse.wb.os,0.9.0.r36x201103301742,"org.eclipse.wb.os",1304001384334
error,log,,,"Designer [2.2.1.r36x201103301817]: Exception during finding of resource com/mz/LoginManager/client/LoginManager/",1304001384342
started,bundle,com.google.gdt.eclipse.designer.gpe,2.2.1.r36x201103301858,"com.google.gdt.eclipse.designer.gpe",1304001384354
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201103301753,"org.eclipse.wb.core.xml",1304001387932
started,bundle,com.google.gdt.eclipse.designer.GXT,2.2.1.r36x201103301634,"com.google.gdt.eclipse.designer.GXT",1304001387949
started,bundle,com.google.gdt.eclipse.designer.usageprofiler,2.2.1.r36x201103301634,"com.google.gdt.eclipse.designer.usageprofiler",1304001387951
started,bundle,com.google.gdt.eclipse.designer.usageprofiler.ui,2.2.1.r36x201103301634,"com.google.gdt.eclipse.designer.usageprofiler.ui",1304001387992
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304001416607
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1304001452791
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304001455775
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1304001469241
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1304001469243
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1304001469258
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1304001469258
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1304001469301
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1304001469304
started,bundle,com.google.gdt.eclipse.designer.wizards,2.2.1.r36x201103301634,"com.google.gdt.eclipse.designer.wizards",1304001469347
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1304001469436
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1304001492543
activated,view,com.google.gwt.eclipse.oophm,2.2.1.v201103311225,"com.google.gwt.eclipse.DevModeView",1304001492760
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304001493746
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304001493770
activated,view,com.google.gwt.eclipse.oophm,2.2.1.v201103311225,"com.google.gwt.eclipse.DevModeView",1304001499349
